Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3901943428,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Washington DC-Baltimore Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901945059,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Pittsburgh Region,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901950460,Emeritus,Data Analyst,Data Analyst,100000,YEARLY,United States,10367223,80000,Full-time,1,Associate,BASE_SALARY,90000,Analyst,Higher Education
3901965519,Ehub Global Inc,Data Architect,Data Architect,75,YEARLY,"Denver, CO",79482021,70,Contract,0,Director,BASE_SALARY,72.5,Information Technology,IT Services and IT Consulting
3901992101,CARFAX,Data Analyst,Data Analyst,75000,YEARLY,"Centreville, VA",10616,65000,Full-time,0,Entry level,BASE_SALARY,null,Information Technology,Software Development
3902304004,TekJobs,Data Analyst,Data Analyst,75000,YEARLY,United States,74081323,65000,Full-time,1,null,BASE_SALARY,null,Information Technology,Software Development
3902338568,"Paramount Software Solutions, Inc",Data Analyst,Data Analyst,75000,YEARLY,"Seattle, WA",467038,65000,Contract,0,null,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3902340711,Randstad Digital,Data Analyst,Data Analyst,25,HOURLY,"Atlanta, GA",98396104,21,Contract,0,Associate,BASE_SALARY,47840,Information Technology,Retail
3902348719,Dexian,Data Entry Specialist,Data Entry,75000,HOURLY,United States,91447303,65000,Full-time,1,Associate,BASE_SALARY,37440,Customer Service,Hospitals and Health Care
3902355613,Qualitative Financials,Data Architect,Data Architect,75000,YEARLY,United States,79830368,65000,Contract,1,null,BASE_SALARY,null,Engineering,Information Technology & Services
3902360792,Kelly,Data Analyst,Data Analyst,75000,HOURLY,"Columbia, SC",2307,65000,Contract,0,Associate,BASE_SALARY,61880,Information Technology,Hospitals and Health Care
3902759405,Mastech Digital,Data Entry Specialist,Data Entry,22,HOURLY,"San Diego, CA",3684,20,Contract,0,Associate,BASE_SALARY,43680,Customer Service,Insurance
3902802384,Carallel,Data Analyst,Data Analyst,90000,YEARLY,United States,29121558,85000,Full-time,1,null,BASE_SALARY,87500,Information Technology,Hospitals and Health Care
3902830415,Millennium Corporation,Data Architect,Data Architect,0,MONTHLY,United States,529068,0,Full-time,1,Mid-Senior level,BASE_SALARY,null,Other,IT Services and IT Consulting
3902831531,Insight Global,Data Entry Specialist,Data Entry,45000,YEARLY,United States,11056,25000,Contract,1,Associate,BASE_SALARY,35000,Information Technology,Government Relations Services
3902858470,E-IT,Data Analyst,Data Analyst,0,MONTHLY,"Charlotte, NC",9211944,0,Contract,0,null,BASE_SALARY,null,Information Technology,Information Technology & Services
3902866592,Dexian,Data Analyst,Data Analyst,40,HOURLY,"Getzville, NY",91447303,38,Contract,0,null,BASE_SALARY,81120,Finance,Banking
3902873579,USCTEK - Recruiting & Staffing,Data Analyst,Data Analyst,0,MONTHLY,United States,13637042,0,Full-time,1,null,BASE_SALARY,null,Information Technology,"Technology, Information and Internet"
3902906828,NULL,Data Analyst,Data Analyst,0,MONTHLY,"Arlington, VA",NULL,0,Full-time,0,null,BASE_SALARY,null,Information Technology,NULL
3902919654,Nesco Resource,Data Architect,Data Architect,210000,YEARLY,United States,28014,150000,Full-time,1,Mid-Senior level,BASE_SALARY,180000,Analyst,Software Development
3902942603,ISITE TECHNOLOGIES,Data Architect,Data Architect,0,MONTHLY,United States,71607371,0,Full-time,1,null,BASE_SALARY,null,Information Technology,Information Services
